온실번호,측정라인,표본번호,조사일자,착과수,예측,오차
1,2,1,2025-02-03,5.0,6.254012021632185,1.2540120216321853
1,2,2,2024-11-01,0.0,0.4858835330746896,0.4858835330746896
1,2,2,2024-11-04,0.0,0.6176026206919707,0.6176026206919707
1,2,2,2024-11-11,1.0,0.9813931819277871,0.018606818072212872
1,2,2,2024-11-18,2.0,2.390304065373202,0.39030406537320195
1,2,2,2024-11-25,8.0,6.220033897955097,1.7799661020449031
1,2,2,2024-12-02,6.0,8.861355720168095,2.8613557201680955
1,2,2,2024-12-09,6.0,6.440627832409432,0.44062783240943215
1,2,2,2024-12-16,4.0,4.73303823317455,0.7330382331745504
1,2,2,2024-12-23,3.0,3.7534924660381597,0.7534924660381597
1,2,2,2024-12-30,3.0,3.3094168653714378,0.30941686537143775
1,2,2,2025-01-06,1.0,2.8847392011104973,1.8847392011104973
1,2,2,2025-01-13,6.0,4.289045599143386,1.7109544008566138
1,2,2,2025-01-20,5.0,5.224126925594855,0.22412692559485503
1,2,2,2025-01-31,8.0,5.3429053707227965,2.6570946292772035
1,2,2,2025-02-03,8.0,7.280723333824017,0.7192766661759826
1,3,1,2024-11-01,0.0,0.47660097591308354,0.47660097591308354
1,3,1,2024-11-04,0.0,0.0027004870321014098,0.0027004870321014098
1,3,1,2024-11-11,0.0,0.5992967608260807,0.5992967608260807
1,3,1,2024-11-18,0.0,0.4727706758920265,0.4727706758920265
1,3,1,2024-11-25,5.0,4.112794396001763,0.887205603998237
1,3,1,2024-12-02,7.0,7.2398274955713635,0.2398274955713635
1,3,1,2024-12-09,7.0,7.408420398367409,0.40842039836740884
1,3,1,2024-12-16,5.0,5.3544547604988,0.3544547604988004
1,3,1,2024-12-23,5.0,3.789585978431432,1.210414021568568
1,3,1,2024-12-30,5.0,3.308192358426653,1.6918076415733472
1,3,1,2025-01-06,3.0,3.4175099133012092,0.41750991330120923
1,3,1,2025-01-13,3.0,4.156100689931025,1.1561006899310247
1,3,1,2025-01-20,3.0,3.816459459318868,0.8164594593188679
1,3,1,2025-01-31,6.0,5.002414004982234,0.9975859950177659
1,3,1,2025-02-03,5.0,6.035733456044975,1.0357334560449747
1,3,2,2024-11-01,0.0,0.47660097591308354,0.47660097591308354
1,3,2,2024-11-04,0.0,0.16206478789678996,0.16206478789678996
1,3,2,2024-11-11,0.0,0.5364370183815511,0.5364370183815511
1,3,2,2024-11-18,0.0,0.7719370892793482,0.7719370892793482
1,3,2,2024-11-25,4.0,3.6436558440275815,0.35634415597241853
1,3,2,2024-12-02,7.0,6.990393430798995,0.009606569201005222
1,3,2,2024-12-09,7.0,7.6181548962747545,0.6181548962747545
1,3,2,2024-12-16,6.0,5.242249155069506,0.7577508449304942
1,3,2,2024-12-23,5.0,4.511232012437982,0.4887679875620181
1,3,2,2024-12-30,4.0,3.6816794310737553,0.3183205689262447
1,3,2,2025-01-06,2.0,3.107576665787312,1.1075766657873118
1,3,2,2025-01-13,2.0,4.265275013234816,2.265275013234816
1,3,2,2025-01-20,4.0,4.167463401272217,0.16746340127221693
1,3,2,2025-01-31,7.0,5.218173531211243,1.7818264687887568
1,3,2,2025-02-03,7.0,6.516444959287024,0.48355504071297606
1,4,1,2024-11-01,0.0,0.4596332038786468,0.4596332038786468
1,4,1,2024-11-04,0.0,0.15351061961707296,0.15351061961707296
1,4,1,2024-11-11,0.0,0.4770441408580613,0.4770441408580613
1,4,1,2024-11-18,1.0,0.7828107707465392,0.21718922925346085
1,4,1,2024-11-25,4.0,5.269681224374166,1.2696812243741658
1,4,1,2024-12-02,7.0,6.761879027040072,0.23812097295992807
1,4,1,2024-12-09,7.0,7.111582415660483,0.11158241566048321
1,4,1,2024-12-16,5.0,5.293622106096588,0.29362210609658757
1,4,1,2024-12-23,4.0,3.982998106496701,0.017001893503298948
1,4,1,2024-12-30,3.0,3.416524654342259,0.41652465434225894
1,4,1,2025-01-06,2.0,2.4549491492398214,0.45494914923982144
1,4,1,2025-01-13,5.0,4.62342675423453,0.3765732457654698
1,4,1,2025-01-20,4.0,4.227018465463052,0.22701846546305227
1,4,1,2025-01-31,6.0,4.930316378237391,1.069683621762609
1,4,1,2025-02-03,5.0,5.3394001335431955,0.33940013354319554
1,4,2,2024-11-01,0.0,0.4596332038786468,0.4596332038786468
1,4,2,2024-11-04,0.0,0.20007330711784296,0.20007330711784296
1,4,2,2024-11-11,0.0,0.37437028785018234,0.37437028785018234
1,4,2,2024-11-18,1.0,0.5774986062504979,0.42250139374950213
1,4,2,2024-11-25,5.0,5.2178496197457775,0.21784961974577755
1,4,2,2024-12-02,8.0,7.525410449919148,0.4745895500808519
1,4,2,2024-12-09,8.0,7.857783547629866,0.1422164523701337
1,4,2,2024-12-16,6.0,5.891280585543733,0.10871941445626732
1,4,2,2024-12-23,5.0,4.779941519399851,0.22005848060014888
1,4,2,2024-12-30,3.0,3.765100907901838,0.765100907901838
1,4,2,2025-01-06,2.0,2.5283908039166993,0.5283908039166993
1,4,2,2025-01-13,6.0,4.798713427121066,1.2012865728789341
1,4,2,2025-01-20,4.0,4.986869387823265,0.9868693878232646
1,4,2,2025-01-31,6.0,5.117744046166374,0.8822559538336261
1,4,2,2025-02-03,5.0,5.332080429586296,0.3320804295862958
1,5,1,2024-11-01,0.0,0.4427880626844478,0.4427880626844478
1,5,1,2024-11-04,0.0,0.2296327512172089,0.2296327512172089
1,5,1,2024-11-11,0.0,0.22555763574096957,0.22555763574096957
1,5,1,2024-11-18,1.0,0.701540682382836,0.29845931761716404
1,5,1,2024-11-25,5.0,5.129593760886804,0.12959376088680408
1,5,1,2024-12-02,7.0,7.370195209035604,0.37019520903560377
1,5,1,2024-12-09,7.0,6.961872617332785,0.038127382667214604
1,5,1,2024-12-16,6.0,5.294065135280383,0.7059348647196169
1,5,1,2024-12-23,4.0,4.940642124935588,0.9406421249355876
1,5,1,2024-12-30,3.0,3.6777020739371715,0.6777020739371715
1,5,1,2025-01-06,1.0,2.636766842571689,1.636766842571689
