온실번호,조사일자,착과수,예측,오차,하한,상한,실제버킷,예측버킷,버킷일치,신뢰도,구간적중
1,2024-11-01,0.0,0.18553187259599843,0.18553187259599843,0.0,1.8026185699237467,0,0,True,0.27737426449631586,True
1,2024-11-04,0.2,0.9252254296140777,0.7252254296140777,0.0,2.3992509933807886,0,1,False,0.6251951146996703,True
1,2024-11-11,1.0,1.795004518551666,0.7950045185516661,0.5818814908249355,6.414959008186798,1,1,True,0.24311669182418816,True
1,2024-11-18,1.8,2.2912168133396293,0.4912168133396293,0.6893560053432493,4.794096804690765,1,2,False,0.4872414843631338,True
1,2024-11-25,5.5,5.691458609640618,0.1914586096406179,3.0055478866923226,6.343096407330277,3,3,True,0.5992422245348243,True
1,2024-12-02,7.3,7.703552808383363,0.40355280838336327,3.258487146824819,8.255819177925455,4,4,True,0.4002135514616808,True
1,2024-12-09,7.3,7.622995877822004,0.3229958778220041,3.0042379729757758,8.158587376906134,4,4,True,0.38802181289357984,True
1,2024-12-16,5.4,5.813520844200965,0.41352084420096435,3.018270212695158,6.874869749592568,3,3,True,0.5185915677438931,True
1,2024-12-23,4.4,4.223670021687296,0.17632997831270458,2.4630990435567006,5.374509343483817,3,3,True,0.4721111770189953,True
1,2024-12-30,3.3,3.506589338410084,0.2065893384100841,2.3966664897057615,6.77946224655223,2,2,True,0.3658243731275028,True
1,2025-01-06,1.6,3.043396380023043,1.4433963800230427,1.8075789389858974,6.7050303283800865,1,2,False,0.408375671544419,False
1,2025-01-13,4.4,3.6492532756568057,0.7507467243431947,2.204189388661386,6.855797623192233,3,2,False,0.38606230808681513,True
1,2025-01-20,4.2,4.985107185147782,0.7851071851477815,2.0673642521241087,6.93244020430982,3,3,True,0.4110932737034596,True
1,2025-01-31,5.9,4.678847229260879,1.2211527707391214,2.3356574400331507,6.94889375764024,3,3,True,0.43353512855318255,True
1,2025-02-03,5.8,5.985786408233646,0.18578640823364623,2.156308198437666,8.173867928880577,3,3,True,0.3323606394602075,True
2,2024-11-01,0.9,0.14703746023525516,0.7529625397647448,0.0,0.9588347227333797,1,0,False,0.5214663050318356,True
2,2024-11-04,0.9,0.7964517592033721,0.10354824079662794,0.13145798920808138,1.3122585361284598,1,1,True,0.6878880080525831,True
2,2024-11-11,2.3,1.4414338381655196,0.8585661618344802,0.0,1.4569035926697222,2,1,False,0.6568063923270527,False
2,2024-11-18,3.3,2.2271566093554687,1.0728433906445312,0.9173799997732683,3.90917793999557,2,2,True,0.6381373268322094,True
2,2024-11-25,6.7,5.292489395457699,1.407510604542301,3.2943257770330128,5.505947269217911,4,3,False,0.6809245047307622,False
2,2024-12-02,7.8,5.647083022334733,2.1529169776652672,3.2024736085578955,6.420200989901058,4,3,False,0.6215566960694937,False
2,2024-12-09,7.9,6.552052455928051,1.3479475440719497,3.923631864705998,7.334870174697034,4,4,True,0.3913154266552963,False
2,2024-12-16,5.9,6.129534733589996,0.229534733589996,4.1165250087587655,6.271677088038789,3,4,False,0.1260593582470286,True
2,2024-12-23,4.7,5.44171287171074,0.7417128717107397,4.285419886258726,7.149657135091649,3,3,True,0.5986166524577897,True
2,2024-12-30,3.6,3.399391005678113,0.20060899432188695,3.7433971422400165,5.991033195284924,2,2,True,0.11416566192393987,False
2,2025-01-06,2.7,2.6949863928581195,0.005013607141880705,3.371264670433589,5.99442773627484,2,2,True,0.23968594928534298,False
2,2025-01-13,4.5,4.035133772121806,0.4648662278781943,3.330795540782831,5.983554518451557,3,3,True,0.7477326568864265,True
