온실번호,측정라인,표본번호,조사일자,착과수,예측,오차
1,1,1,2024-11-01,0.0,0.2863473638056253,0.2863473638056253
1,1,1,2024-11-04,0.0,0.0528761434867181,0.0528761434867181
1,1,1,2024-11-11,0.0,0.10999259547373381,0.10999259547373381
1,1,1,2024-11-18,2.0,0.3781905080208655,1.6218094919791346
1,1,1,2024-11-25,5.0,5.826399670451383,0.8263996704513827
1,1,1,2024-12-02,9.0,7.714768772254737,1.285231227745263
1,1,1,2024-12-09,9.0,8.475211053041273,0.5247889469587275
1,1,1,2024-12-16,6.0,6.708284959070161,0.708284959070161
1,1,1,2024-12-23,4.0,4.471323357294627,0.4713233572946267
1,1,1,2024-12-30,3.0,3.4459025887631314,0.4459025887631314
1,1,1,2025-01-06,1.0,3.021587715742926,2.021587715742926
1,1,1,2025-01-13,5.0,4.266002383167042,0.7339976168329576
1,1,1,2025-01-20,5.0,4.04267771445445,0.9573222855455503
1,1,1,2025-01-31,5.0,5.821315988935515,0.821315988935515
1,1,1,2025-02-03,6.0,6.1859865314966,0.18598653149660027
1,1,2,2024-11-01,0.0,0.2863473638056253,0.2863473638056253
1,1,2,2024-11-04,0.0,0.24865453081397224,0.24865453081397224
1,1,2,2024-11-11,0.0,1.0591988352249742,1.0591988352249742
1,1,2,2024-11-18,0.0,1.4025245781797375,1.4025245781797375
1,1,2,2024-11-25,2.0,3.704270625784054,1.704270625784054
1,1,2,2024-12-02,7.0,6.350894545990831,0.6491054540091694
1,1,2,2024-12-09,7.0,7.739750870485358,0.7397508704853584
1,1,2,2024-12-16,5.0,5.81002218928736,0.81002218928736
1,1,2,2024-12-23,5.0,3.6387529901692646,1.3612470098307354
1,1,2,2024-12-30,3.0,3.4257988319687884,0.4257988319687884
1,1,2,2025-01-06,2.0,3.155228209254549,1.155228209254549
1,1,2,2025-01-13,4.0,4.480292572118719,0.480292572118719
1,1,2,2025-01-20,4.0,3.8056359959557033,0.19436400404429666
1,1,2,2025-01-31,4.0,6.330373003076625,2.330373003076625
1,1,2,2025-02-03,8.0,6.947817479785011,1.0521825202149886
1,2,1,2024-11-01,0.0,0.27952567612482415,0.27952567612482415
1,2,1,2024-11-04,2.0,0.3689894806919853,1.6310105193080147
1,2,1,2024-11-11,5.0,2.9629553993604927,2.0370446006395073
1,2,1,2024-11-18,6.0,4.395266330426057,1.6047336695739434
1,2,1,2024-11-25,9.0,7.5540726583097575,1.4459273416902425
1,2,1,2024-12-02,7.0,8.79345736766347,1.7934573676634695
1,2,1,2024-12-09,7.0,7.9345184153095065,0.9345184153095065
1,2,1,2024-12-16,5.0,6.121502745418748,1.1215027454187476
1,2,1,2024-12-23,4.0,3.963964357583544,0.03603564241645607
1,2,1,2024-12-30,2.0,3.554784630257719,1.554784630257719
1,2,1,2025-01-06,0.0,3.138292737709346,3.138292737709346
1,2,1,2025-01-13,5.0,2.4761679200751257,2.5238320799248743
1,2,1,2025-01-20,5.0,4.072445005970527,0.9275549940294727
1,2,1,2025-01-31,6.0,6.215269014424085,0.2152690144240852
1,2,1,2025-02-03,5.0,6.559412360622264,1.5594123606222636
1,2,2,2024-11-01,0.0,0.27952567612482415,0.27952567612482415
1,2,2,2024-11-04,0.0,0.7698983325888952,0.7698983325888952
1,2,2,2024-11-11,1.0,0.6644661816859551,0.33553381831404494
1,2,2,2024-11-18,2.0,2.9241017096257336,0.9241017096257336
1,2,2,2024-11-25,8.0,6.346460757328749,1.6535392426712514
1,2,2,2024-12-02,6.0,8.600386494153062,2.600386494153062
1,2,2,2024-12-09,6.0,6.9972304495583755,0.9972304495583755
1,2,2,2024-12-16,4.0,5.3229291027345855,1.3229291027345855
1,2,2,2024-12-23,3.0,3.7423199482760676,0.7423199482760676
1,2,2,2024-12-30,3.0,3.544164570724852,0.5441645707248521
1,2,2,2025-01-06,1.0,3.0351906903070103,2.0351906903070103
1,2,2,2025-01-13,6.0,4.381615849312061,1.6183841506879393
1,2,2,2025-01-20,5.0,4.207087985492376,0.7929120145076238
1,2,2,2025-01-31,8.0,5.921567629383159,2.0784323706168406
1,2,2,2025-02-03,8.0,6.398861581102332,1.6011384188976683
1,3,1,2024-11-01,0.0,0.2053291681309859,0.2053291681309859
1,3,1,2024-11-04,0.0,0.0,0.0
1,3,1,2024-11-11,0.0,0.3619386226167622,0.3619386226167622
1,3,1,2024-11-18,0.0,0.5804956360271875,0.5804956360271875
1,3,1,2024-11-25,5.0,3.414385675442109,1.5856143245578909
1,3,1,2024-12-02,7.0,7.283284736157593,0.28328473615759275
1,3,1,2024-12-09,7.0,7.897995954574977,0.8979959545749772
1,3,1,2024-12-16,5.0,6.075043364790696,1.0750433647906963
1,3,1,2024-12-23,5.0,3.9567093613897724,1.0432906386102276
1,3,1,2024-12-30,5.0,3.4398387182480397,1.5601612817519603
1,3,1,2025-01-06,3.0,3.3162150394961167,0.31621503949611673
1,3,1,2025-01-13,3.0,4.1779693258281565,1.1779693258281565
1,3,1,2025-01-20,3.0,4.195974326792443,1.1959743267924434
1,3,1,2025-01-31,6.0,5.891021796185562,0.10897820381443779
1,3,1,2025-02-03,5.0,6.397319760339429,1.3973197603394292
1,3,2,2024-11-01,0.0,0.2053291681309859,0.2053291681309859
1,3,2,2024-11-04,0.0,0.15673596707396661,0.15673596707396661
1,3,2,2024-11-11,0.0,0.5218939099355697,0.5218939099355697
1,3,2,2024-11-18,0.0,0.6860436091620905,0.6860436091620905
1,3,2,2024-11-25,4.0,2.8422818979042916,1.1577181020957084
1,3,2,2024-12-02,7.0,7.273153091806546,0.2731530918065461
1,3,2,2024-12-09,7.0,7.8921003711674675,0.8921003711674675
1,3,2,2024-12-16,6.0,5.92722300658241,0.07277699341759014
1,3,2,2024-12-23,5.0,4.714648614617916,0.28535138538208393
1,3,2,2024-12-30,4.0,3.59454215400722,0.40545784599278
1,3,2,2025-01-06,2.0,3.250453195038679,1.2504531950386788
1,3,2,2025-01-13,2.0,4.31137213639001,2.31137213639001
1,3,2,2025-01-20,4.0,4.290950421178588,0.2909504211785876
1,3,2,2025-01-31,7.0,5.913439513074111,1.0865604869258894
1,3,2,2025-02-03,7.0,6.519365332793732,0.48063466720626824
1,4,1,2024-11-01,0.0,0.20272022268508305,0.20272022268508305
1,4,1,2024-11-04,0.0,0.18028655848843853,0.18028655848843853
1,4,1,2024-11-11,0.0,0.1367593904867761,0.1367593904867761
1,4,1,2024-11-18,1.0,0.8569590065806524,0.14304099341934762
1,4,1,2024-11-25,4.0,5.536168589046924,1.536168589046924
1,4,1,2024-12-02,7.0,6.630661978028575,0.3693380219714246
1,4,1,2024-12-09,7.0,7.06541626721267,0.06541626721266969
1,4,1,2024-12-16,5.0,5.86289023387592,0.8628902338759197
1,4,1,2024-12-23,4.0,4.001172088611715,0.0011720886117148055
1,4,1,2024-12-30,3.0,3.399060106966311,0.3990601069663109
1,4,1,2025-01-06,2.0,2.5455546779732146,0.5455546779732146
1,4,1,2025-01-13,5.0,4.659358478980724,0.34064152101927636
1,4,1,2025-01-20,4.0,3.988432630230107,0.01156736976989281
1,4,1,2025-01-31,6.0,5.591876687881203,0.40812331211879727
1,4,1,2025-02-03,5.0,5.954104702920982,0.9541047029209819
1,4,2,2024-11-01,0.0,0.20272022268508305,0.20272022268508305
1,4,2,2024-11-04,0.0,0.08008043869967481,0.08008043869967481
1,4,2,2024-11-11,0.0,0.0,0.0
1,4,2,2024-11-18,1.0,0.5145935883084913,0.48540641169150867
1,4,2,2024-11-25,5.0,5.5140077720155,0.5140077720154999
1,4,2,2024-12-02,8.0,7.207213993269408,0.7927860067305916
1,4,2,2024-12-09,8.0,7.6879462170724455,0.3120537829275545
1,4,2,2024-12-16,6.0,6.502553723378169,0.5025537233781687
1,4,2,2024-12-23,5.0,5.097328172382442,0.09732817238244174
1,4,2,2024-12-30,3.0,3.9872331227106588,0.9872331227106588
1,4,2,2025-01-06,2.0,2.5315583002194386,0.5315583002194386
