측정일시,급액EC,급액PH,내부CO2,내부습도,내부온도,외부일사량,외부온도,외부풍향,외부풍속
9/29/2024 0:00,0.5,6,423,99.3,21.5,0,24.58,342,0
9/29/2024 1:00,0.5,6,424,99.8,21.5,0,24.58,339,0
9/29/2024 2:00,0.5,6,424,99.9,21.4,0,24.58,341,0
9/29/2024 3:00,0.5,6,425,99,21.9,0,23.62,340,1
9/29/2024 4:00,0.5,6,423,99.6,21.9,0,23.62,341,0.5
9/29/2024 5:00,0.5,6,423,98.9,21.9,0,23.62,339,0.5
9/29/2024 6:00,0.5,6,424,99.5,21.9,0,23.62,341,1
9/29/2024 7:00,0.5,6,424,99.5,21.9,0,23.62,338,1
9/29/2024 8:00,0.5,6,420,99.9,21.5,0,23.5,347,0
9/29/2024 9:00,0.5,6,420,99.8,21.5,0,23.5,343,0
9/29/2024 10:00,0.5,6,421,99.9,21.5,0,23.5,344,0
9/29/2024 11:00,0.5,6,421,99.9,21.5,0,23.26,343,0
9/29/2024 12:00,0.5,6,421,99.9,21.5,0,23.26,345,0
9/29/2024 13:00,0.5,6,421,99.3,21.6,0,23.26,343,0
9/29/2024 14:00,0.5,6,408,99.9,21.2,0,23.06,333,0
9/29/2024 15:00,0.5,6,407,99.9,21.2,0,23.06,333,0
9/29/2024 16:00,0.5,6,406,99.9,21.2,0,23.06,329,0
9/29/2024 17:00,0.5,6,405,99.9,21.1,0,23.06,330,0
9/29/2024 18:00,0.5,6,404,99.9,21.2,0,23.06,332,0
9/29/2024 19:00,0.5,6,405,99,21.2,0,23.06,331,0
9/29/2024 20:00,0.5,6,417,98.5,20.9,0,22.18,38,0
9/29/2024 21:00,0.5,6,418,98.7,20.9,0,22.18,38,0
9/29/2024 22:00,0.5,6,418,99.8,20.9,0,22.18,40,0
9/29/2024 23:00,0.5,6,418,99.3,20.9,0,22.18,37,0
9/30/2024 0:00,0.5,6,417,99.3,20.9,0,22.24,40,0
9/30/2024 1:00,0.5,6,417,99.6,20.9,0,22.24,40,0
9/30/2024 2:00,0.5,6,412,99.9,21.2,0,21.6,54,0
9/30/2024 3:00,0.5,6,415,99.9,21.2,0,21.6,52,0
9/30/2024 4:00,0.5,6,415,99.9,21.2,0,21.52,50,0
9/30/2024 5:00,0.5,6,414,99.9,21.3,0,21.52,54,0
9/30/2024 6:00,0.5,6,413,99.9,21.3,0,21.52,50,0
9/30/2024 7:00,0.5,6,412,99.9,21.2,0,21.52,53,0
9/30/2024 8:00,0.5,6,405,99.9,21.3,0,21.34,351,0
9/30/2024 9:00,0.5,6,404,99.9,21.3,0,21.34,353,0
9/30/2024 10:00,0.5,6,404,99.9,21.3,0,21.34,356,0
9/30/2024 11:00,0.5,6,404,99.9,21.3,0,21.34,353,0
9/30/2024 12:00,0.5,6,405,99.9,21.2,0,21.34,352,0
9/30/2024 13:00,0.5,6,405,99.9,21.2,0,21.36,352,0
9/30/2024 14:00,0.5,6,413,96,20.4,0,20.72,356,0
9/30/2024 15:00,0.5,6,412,97,20.4,0,20.72,355,0
9/30/2024 16:00,0.5,6,411,96,20.4,0,20.94,355,0
9/30/2024 17:00,0.5,6,411,98,20.4,0,20.94,359,0
9/30/2024 18:00,0.5,6,411,97.6,20.4,0,20.94,359,0
9/30/2024 19:00,0.5,6,411,98.2,20.4,0,20.94,358,0
9/30/2024 20:00,0.5,6,409,99.1,19.8,0,20.14,357,0
9/30/2024 21:00,0.5,6,409,99.6,19.9,0,20.14,355,0
9/30/2024 22:00,0.5,6,410,99.9,19.8,0,20.14,357,0
9/30/2024 23:00,0.5,6,410,99.5,19.8,0,20.14,355,0
10/1/2024 0:00,0.5,6,411,79.3,18.4,0,19.66,57,0
10/1/2024 1:00,0.5,6,412,79,18.4,0,19.66,57,0
10/1/2024 2:00,0.5,6,412,79.5,18.3,0,19.66,57,0
10/1/2024 3:00,0.5,6,413,79.9,18.4,0,19.64,57,0
10/1/2024 4:00,0.5,6,412,79.5,18.4,0,19.64,56,0
10/1/2024 5:00,0.5,6,417,81.5,18.1,0,18.94,55,0
10/1/2024 6:00,0.5,6,418,79.5,18.1,0,19.08,56,0
10/1/2024 7:00,0.5,6,417,79.6,18.1,0,19.08,56,0
10/1/2024 8:00,0.5,6,415,80.7,18.1,0,19.08,54,0
10/1/2024 9:00,0.5,6,415,80.9,18.1,0,19.08,56,0
10/1/2024 10:00,0.5,6,417,80.9,18.1,0,19.08,56,0
10/1/2024 11:00,0.5,6,418,83,17.9,0,19.02,174,1.5
10/1/2024 12:00,0.5,6,417,81,17.9,0,19.02,172,1.5
10/1/2024 13:00,0.5,6,416,81.6,17.9,0,19.02,177,1.5
10/1/2024 14:00,0.5,6,415,82.5,17.9,0,18.82,175,1
10/1/2024 15:00,0.5,6,415,82.5,17.9,0,18.82,175,1.5
10/1/2024 16:00,0.5,6,416,82.3,17.9,0,18.82,174,1
10/1/2024 17:00,0.5,6,412,81.1,17.8,0,19.04,233,1.5
10/1/2024 18:00,0.5,6,412,80.9,17.8,0,19.44,235,1
10/1/2024 19:00,0.5,6,412,80.7,17.8,0,19.44,236,1
10/1/2024 20:00,0.5,6,412,80.4,17.8,0,19.44,234,1
10/1/2024 21:00,0.5,6,411,80.7,17.7,0,19.44,234,1
10/1/2024 22:00,0.5,6,411,80.9,17.7,0,19.44,233,1
10/1/2024 23:00,0.5,6,401,83.1,17.6,0,18.76,222,0
10/2/2024 0:00,0.5,6,401,83.4,17.6,0,18.76,222,0
10/2/2024 1:00,0.5,6,401,83.9,17.6,0,18.76,222,0
10/2/2024 2:00,0.5,6,400,84.2,17.6,0,18.82,221,0
10/2/2024 3:00,0.5,6,400,83.9,17.6,0,18.82,221,0
10/2/2024 4:00,0.5,6,400,84.5,17.5,0,19.42,104,0.5
10/2/2024 5:00,0.5,6,400,82.6,17.5,0,19.42,106,0.5
10/2/2024 6:00,0.5,6,400,83,17.5,0,19.42,104,0.5
10/2/2024 7:00,0.5,6,401,81.7,17.5,0,19.42,106,1
10/2/2024 8:00,0.5,6,402,81.9,17.5,0,19.42,106,1
10/2/2024 9:00,0.5,6,401,82.2,17.5,0,19.42,104,0.5
10/2/2024 10:00,0.5,6,397,84.5,17.5,0,19.64,52,0
10/2/2024 11:00,0.5,6,398,84.7,17.6,0,19.64,55,0
10/2/2024 12:00,0.5,6,397,84,17.6,0,19.62,50,0
10/2/2024 13:00,0.5,6,397,84.1,17.6,0,19.62,51,0
10/2/2024 14:00,0.5,6,397,84.2,17.5,0,19.62,52,0
10/2/2024 15:00,0.5,6,396,83.9,17.6,0,19.62,54,0
10/2/2024 16:00,0.5,6,396,81.2,17.7,0,19.72,102,0
10/2/2024 17:00,0.5,6,395,81.8,17.7,0,19.72,100,0
10/2/2024 18:00,0.5,6,394,83.1,17.6,0,19.72,102,0
10/2/2024 19:00,0.5,6,395,82.8,17.6,5,19.72,106,0
10/2/2024 20:00,0.5,6,395,81.9,17.8,5,19.72,106,0
10/2/2024 21:00,0.5,6,397,79.9,17.9,27,19.94,226,0
10/2/2024 22:00,0.5,6,398,79.1,18,28,19.94,225,1
10/2/2024 23:00,0.5,6,400,79.4,18,27,20.14,225,0.5
10/3/2024 0:00,0.5,6,399,79,18,26,20.14,227,0.5
10/3/2024 1:00,0.5,6,399,79.2,18,28,20.14,227,0
10/3/2024 2:00,0.5,6,398,80,18,28,20.14,225,0
10/3/2024 3:00,0.5,6,397,80,18.2,11,19.9,151,0
10/3/2024 4:00,0.5,6,396,80.1,18.2,11,19.9,149,0
10/3/2024 5:00,0.5,6,398,80.1,18.1,11,19.9,147,0
10/3/2024 6:00,0.5,6,399,80.2,18.1,12,19.9,148,0
10/3/2024 7:00,0.5,6,399,80.1,18.1,11,19.9,147,0
10/3/2024 8:00,0.5,6,398,80.3,18.2,13,19.9,151,0
10/3/2024 9:00,0.5,6,401,77.9,18.2,46,18.36,191,1
10/3/2024 10:00,0.5,6,401,77.9,18.2,46,18.36,187,1.5
10/3/2024 11:00,0.5,6,400,77.7,18.2,46,18.36,182,1
10/3/2024 12:00,0.5,6,399,78.6,18.2,48,18.5,178,0.5
10/3/2024 13:00,0.5,6,399,79.5,18.2,52,18.5,182,0
10/3/2024 14:00,0.5,6,402,76.8,18.2,8,18.32,162,0.5
10/3/2024 15:00,0.5,6,401,76.3,18.3,8,18.32,95,1
10/3/2024 16:00,0.5,6,401,76.4,18.2,8,18.32,91,1
10/3/2024 17:00,0.5,6,401,76.8,18.2,8,18.32,91,1
10/3/2024 18:00,0.5,6,401,76.5,18.2,6,18.32,97,0.5
10/3/2024 19:00,0.5,6,401,76.3,18.2,5,18.32,100,0
10/3/2024 20:00,0.5,6,399,75.6,18.7,95,19.74,269,1.5
10/3/2024 21:00,0.5,6,398,76.1,18.7,95,19.74,158,1
10/3/2024 22:00,0.5,6,397,76.3,18.7,93,19.74,193,1
10/3/2024 23:00,0.5,6,396,76.4,18.7,93,19.7,92,1
