측정일시,급액EC,급액PH,내부CO2,내부습도,내부온도,외부일사량,외부온도,외부풍향,외부풍속
9/30/2024 0:00,0.5,6,393,92.1,20.7,0,21.6,54,0
9/30/2024 1:00,0.5,6,394,92.2,20.7,0,21.6,52,0
9/30/2024 2:00,0.5,6,394,92.1,20.7,0,21.52,50,0
9/30/2024 3:00,0.5,6,393,94.3,20.7,0,21.52,54,0
9/30/2024 4:00,0.5,6,393,94,20.7,0,21.52,54,0
9/30/2024 5:00,0.5,6,393,93.8,20.7,0,21.52,54,0
9/30/2024 6:00,0.5,6,393,97,20.9,0,21.34,356,0
9/30/2024 7:00,0.5,6,393,97.2,20.9,0,21.34,357,0
9/30/2024 8:00,0.5,6,393,97.4,20.9,0,21.34,352,0
9/30/2024 9:00,0.5,6,393,97.4,20.9,0,21.34,353,0
9/30/2024 10:00,0.5,6,394,97.8,20.9,0,21.34,356,0
9/30/2024 11:00,0.5,6,394,97.2,20.9,0,21.34,356,0
9/30/2024 12:00,0.5,6,399,99.7,19.1,0,20.72,356,0
9/30/2024 13:00,0.5,6,399,98.7,19.1,0,20.72,356,0
9/30/2024 14:00,0.5,6,399,98.8,19.1,0,20.94,355,0
9/30/2024 15:00,0.5,6,399,98.8,19.1,0,20.94,357,0
9/30/2024 16:00,0.5,6,400,97.7,19.2,0,20.94,359,0
9/30/2024 17:00,0.5,6,399,98,19.1,0,20.94,359,0
9/30/2024 18:00,0.5,6,402,99.5,18.6,0,20.14,357,0
9/30/2024 19:00,0.5,6,401,99.8,18.6,0,20.14,355,0
9/30/2024 20:00,0.5,6,401,99.9,18.6,0,20.14,357,0
9/30/2024 21:00,0.5,6,401,98.4,18.6,0,20.14,355,0
9/30/2024 22:00,0.5,6,402,98.9,18.6,0,20.14,357,0
9/30/2024 23:00,0.5,6,402,99.1,18.6,0,20.12,355,0
10/1/2024 0:00,0.5,4.5,397,77.5,19.4,0,19.66,57,0
10/1/2024 1:00,1.1,6.5,397,77.2,19.4,0,19.66,56,0
10/1/2024 2:00,1.1,6.4,397,77.4,19.4,0,19.66,57,0
10/1/2024 3:00,1.1,6.4,397,76,19.4,0,19.64,57,0
10/1/2024 4:00,1.1,6.5,397,76.5,19.4,0,19.64,56,0
10/1/2024 5:00,1.1,6.5,403,76.2,19.1,0,19.08,56,0
10/1/2024 6:00,1.1,6.5,402,76.4,19.1,0,19.08,56,0
10/1/2024 7:00,1,6.5,403,77.6,19,0,19.08,54,0
10/1/2024 8:00,1,6.5,403,79.1,19.1,0,19.08,56,0
10/1/2024 9:00,1,6.5,403,79.3,19,0,19.08,56,0
10/1/2024 10:00,1,6.5,411,78.6,18.9,0,19.02,173,1.5
10/1/2024 11:00,0.9,6.5,411,78.5,18.9,0,19.02,172,1.5
10/1/2024 12:00,0.9,6.5,411,78.9,18.9,0,19.02,176,1
10/1/2024 13:00,0.9,6.5,411,77.7,19,0,18.82,172,1.5
10/1/2024 14:00,0.9,6.6,411,77.4,18.9,0,18.82,175,1.5
10/1/2024 15:00,0.9,6.6,412,76.5,18.9,0,18.82,172,1
10/1/2024 16:00,0.9,6.6,407,75.2,18.8,0,19.04,233,1
10/1/2024 17:00,0.9,6.5,406,75.6,18.8,0,19.44,235,1.5
10/1/2024 18:00,0.9,6.5,405,75.3,18.8,0,19.44,236,1
10/1/2024 19:00,1.2,6.4,405,75.7,18.8,0,19.44,235,1
10/1/2024 20:00,1.1,6.4,405,75.7,18.8,0,19.44,234,1
